Heuristic,Puzzle,Depth,Explored Nodes,Max Fringe Size,Elapsed Time,Expanded Nodes
manhattan,"-------------
| 2 |   | 5 |
-------------
| 1 | 3 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,27,9,0.00039879999894765206,9
out_of_position,"-------------
| 2 |   | 5 |
-------------
| 1 | 3 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,24,8,0.0003284999984316528,8
misplaced,"-------------
| 4 | 3 | 2 |
-------------
| 1 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",7,52,16,0.0006901000015204772,18
euclidean,"-------------
| 4 | 3 | 2 |
-------------
| 1 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",7,32,12,0.000788100001955172,10
manhattan,"-------------
| 4 | 3 | 2 |
-------------
| 1 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",7,32,12,0.000588800001423806,10
out_of_position,"-------------
| 4 | 3 | 2 |
-------------
| 1 | 7 | 5 |
-------------
| 6 |   | 8 |
-------------",7,32,12,0.0005032999979448505,10
misplaced,"-------------
| 3 |   | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 | 4 | 8 |
-------------",5,19,7,0.00017460000162827782,6
euclidean,"-------------
| 3 |   | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 | 4 | 8 |
-------------",5,19,7,0.0002701999983401038,6
manhattan,"-------------
| 3 |   | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 | 4 | 8 |
-------------",5,19,7,0.0002473999993526377,6
out_of_position,"-------------
| 3 |   | 2 |
-------------
| 6 | 1 | 5 |
-------------
| 7 | 4 | 8 |
-------------",5,19,7,0.0004312999990361277,6
misplaced,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,6.679999933112413e-05,1
euclidean,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.900000127847306e-05,1
manhattan,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,6.269999721553177e-05,1
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
|   | 4 | 5 |
-------------
| 6 | 7 | 8 |
-------------",1,5,3,7.879999975557439e-05,1
misplaced,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,17,7,0.00014989999908721074,5
euclidean,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,17,7,0.00047930000073392875,5
manhattan,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,25,9,0.0004664999978558626,8
out_of_position,"-------------
| 1 | 2 | 5 |
-------------
| 3 | 7 | 4 |
-------------
| 6 |   | 8 |
-------------",5,17,7,0.00028049999673385173,5
misplaced,"-------------
| 3 | 5 | 1 |
-------------
|   | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,51,17,0.0006769999999960419,17
euclidean,"-------------
| 3 | 5 | 1 |
-------------
|   | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,38,12,0.0006864000024506822,13
manhattan,"-------------
| 3 | 5 | 1 |
-------------
|   | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,38,12,0.0005992000005790032,13
out_of_position,"-------------
| 3 | 5 | 1 |
-------------
|   | 4 | 2 |
-------------
| 6 | 7 | 8 |
-------------",7,38,12,0.0009926999991876073,13
misplaced,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",11,171,48,0.00515580000137561,62
euclidean,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",11,89,27,0.0022401000023819506,31
manhattan,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",11,93,27,0.0021656000026268885,33
out_of_position,"-------------
| 2 | 3 | 5 |
-------------
| 1 | 4 | 8 |
-------------
| 6 |   | 7 |
-------------",11,104,28,0.0025507999998808373,38
misplaced,"-------------
| 2 | 5 | 4 |
-------------
| 1 | 8 |   |
-------------
| 6 | 3 | 7 |
-------------",13,392,96,0.03275650000068708,148
euclidean,"-------------
| 2 | 5 | 4 |
-------------
| 1 | 8 |   |
-------------
| 6 | 3 | 7 |
-------------",13,93,27,0.004595700000209035,33
manhattan,"-------------
| 2 | 5 | 4 |
-------------
| 1 | 8 |   |
-------------
| 6 | 3 | 7 |
-------------",13,92,26,0.004520899998169625,33
out_of_position,"-------------
| 2 | 5 | 4 |
-------------
| 1 | 8 |   |
-------------
| 6 | 3 | 7 |
-------------",13,117,31,0.004548099997919053,43
misplaced,"-------------
| 3 | 1 | 5 |
-------------
|   | 2 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,50,14,0.0009677000016381498,18
euclidean,"-------------
| 3 | 1 | 5 |
-------------
|   | 2 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,36,12,0.0007003999999142252,12
manhattan,"-------------
| 3 | 1 | 5 |
-------------
|   | 2 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,39,13,0.0018697999985306524,13
out_of_position,"-------------
| 3 | 1 | 5 |
-------------
|   | 2 | 4 |
-------------
| 6 | 7 | 8 |
-------------",7,39,13,0.0007422999988193624,13
